sample,0.011482,0.013183,0.015136,0.017378,0.019953,0.022909,0.026303,0.0302,0.034674,0.039811,0.045709,0.052481,0.060256,0.069183,0.079433,0.091201,0.104713,0.120226,0.138038,0.158489,0.18197,0.20893,0.239883,0.275423,0.316228,0.363078,0.416869,0.47863,0.549541,0.630957,0.724436,0.831764,0.954993,1.096478,1.258925,1.44544,1.659587,1.905461,2.187762,2.511886,2.884031,3.311311,3.801894,4.365158,5.011872,5.754399,6.606934,7.585776,8.709636,10,11.481536,13.182567,15.135612,17.378008,19.952623,22.908677,26.30268,30.199517,34.673685,39.810717,45.708819,52.480746,60.255959,69.183097,79.432823,91.201084,104.712855,120.226443,138.038426,158.489319,181.970086,208.929613,239.883292,275.42287,316.227766,363.078055,416.869383,478.630092,549.540874,630.957344,724.43596,831.763771,954.992586,1096.478196,1258.925412,1445.439771,1659.586907,1905.460718,2187.761624,2511.886432,2884.031503,3311.311215,3801.893963,4365.158322,5011.872336,5754.399373,6606.93448,7585.77575,8709.6359,10000
118 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170405,0.324714,0.472007,0.561796,0.62047,0.639907,0.636887,0.628754,0.63951,0.692852,0.808322,0.992918,1.240615,1.528981,1.824572,2.092665,2.303469,2.449536,2.546847,2.647538,2.825659,3.172608,3.744663,4.575824,5.580897,6.649283,7.557749,8.118379,8.157977,7.612838,6.542812,5.109724,3.537867,2.084881,0.894409,0.011665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110504,0.240345,0.368209,0.449331,0.506661,0.531209,0.5353,0.530413,0.533397,0.561061,0.627624,0.739455,0.894374,1.078899,1.270767,1.445548,1.582658,1.679523,1.755443,1.863148,2.077555,2.494525,3.175456,4.16797,5.390993,6.742256,7.978352,8.886478,9.237537,8.916442,7.936001,6.435434,4.668361,2.912897,1.40427,0.271605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131718,0.286304,0.448974,0.556461,0.627756,0.651128,0.644641,0.631552,0.646592,0.729897,0.925086,1.266034,1.766207,2.395554,3.078736,3.713521,4.188848,4.433398,4.428343,4.230713,3.963046,3.767851,3.780429,4.080654,4.654491,5.413587,6.145413,6.628052,6.650093,6.120634,5.103795,3.784516,2.423838,1.261767,0.44037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
