sample,0.011482,0.013183,0.015136,0.017378,0.019953,0.022909,0.026303,0.0302,0.034674,0.039811,0.045709,0.052481,0.060256,0.069183,0.079433,0.091201,0.104713,0.120226,0.138038,0.158489,0.18197,0.20893,0.239883,0.275423,0.316228,0.363078,0.416869,0.47863,0.549541,0.630957,0.724436,0.831764,0.954993,1.096478,1.258925,1.44544,1.659587,1.905461,2.187762,2.511886,2.884031,3.311311,3.801894,4.365158,5.011872,5.754399,6.606934,7.585776,8.709636,10,11.481536,13.182567,15.135612,17.378008,19.952623,22.908677,26.30268,30.199517,34.673685,39.810717,45.708819,52.480746,60.255959,69.183097,79.432823,91.201084,104.712855,120.226443,138.038426,158.489319,181.970086,208.929613,239.883292,275.42287,316.227766,363.078055,416.869383,478.630092,549.540874,630.957344,724.43596,831.763771,954.992586,1096.478196,1258.925412,1445.439771,1659.586907,1905.460718,2187.761624,2511.886432,2884.031503,3311.311215,3801.893963,4365.158322,5011.872336,5754.399373,6606.93448,7585.77575,8709.6359,10000
118 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170405,0.324714,0.472007,0.561796,0.62047,0.639907,0.636887,0.628754,0.63951,0.692852,0.808322,0.992918,1.240615,1.528981,1.824572,2.092665,2.303469,2.449536,2.546847,2.647538,2.825659,3.172608,3.744663,4.575824,5.580897,6.649283,7.557749,8.118379,8.157977,7.612838,6.542812,5.109724,3.537867,2.084881,0.894409,0.011665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110504,0.240345,0.368209,0.449331,0.506661,0.531209,0.5353,0.530413,0.533397,0.561061,0.627624,0.739455,0.894374,1.078899,1.270767,1.445548,1.582658,1.679523,1.755443,1.863148,2.077555,2.494525,3.175456,4.16797,5.390993,6.742256,7.978352,8.886478,9.237537,8.916442,7.936001,6.435434,4.668361,2.912897,1.40427,0.271605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131718,0.286304,0.448974,0.556461,0.627756,0.651128,0.644641,0.631552,0.646592,0.729897,0.925086,1.266034,1.766207,2.395554,3.078736,3.713521,4.188848,4.433398,4.428343,4.230713,3.963046,3.767851,3.780429,4.080654,4.654491,5.413587,6.145413,6.628052,6.650093,6.120634,5.103795,3.784516,2.423838,1.261767,0.44037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179422,0.342874,0.465037,0.552151,0.595569,0.604268,0.590593,0.575827,0.585005,0.642896,0.7681,0.963979,1.218423,1.502042,1.776745,2.007836,2.171859,2.272728,2.342755,2.450287,2.681598,3.133109,3.849172,4.845307,5.998401,7.166319,8.095128,8.586288,8.478639,7.736595,6.466535,4.865391,3.200617,1.714035,0.568378,0.006093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083233,0.197156,0.306299,0.371512,0.416802,0.438497,0.453567,0.4784,0.534237,0.638076,0.800957,1.018143,1.271514,1.52716,1.742827,1.878247,1.904683,1.818538,1.651269,1.469457,1.379006,1.50018,1.938193,2.773111,3.965685,5.440049,6.957869,8.292528,9.156002,9.364706,8.839236,7.64656,6.002328,4.17297,2.450333,1.08706,0.033613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090733,0.19773,0.30059,0.362826,0.405014,0.422086,0.427139,0.432592,0.454618,0.506691,0.597255,0.723613,0.873042,1.02191,1.141123,1.204441,1.197773,1.130164,1.043053,1.011329,1.138853,1.544076,2.306194,3.482844,4.979766,6.678257,8.286408,9.550195,10.183998,10.038872,9.106729,7.532156,5.596979,3.615338,1.869009,0.536969,0.009635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118462,0.234575,0.343066,0.406661,0.448899,0.467294,0.478721,0.498402,0.543558,0.624131,0.74069,0.878441,1.013183,1.115967,1.163725,1.149333,1.090888,1.036413,1.065088,1.279856,1.778747,2.651255,3.886602,5.44529,7.102382,8.648182,9.758609,10.217262,9.885161,8.783445,7.105825,5.119436,3.166268,1.485743,0.26844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147222,0.284006,0.413199,0.491333,0.544932,0.569918,0.584467,0.604731,0.649669,0.731295,0.852905,1.003406,1.16397,1.31243,1.432645,1.522669,1.59915,1.70203,1.887535,2.228656,2.781067,3.594949,4.633799,5.848409,7.054952,8.096038,8.748245,8.873839,8.403447,7.373844,5.944758,4.320587,2.745832,1.412564,0.441504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204964,0.372188,0.498802,0.59555,0.649173,0.66678,0.655388,0.62925,0.604042,0.595767,0.616113,0.671095,0.762021,0.886491,1.040233,1.220648,1.42747,1.671237,1.965606,2.342057,2.822564,3.443848,4.195345,5.075497,5.993947,6.877193,7.578675,7.989622,8.004256,7.579269,6.746115,5.592667,4.276294,2.952775,1.774545,0.861386,0.148309,0.012818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
